type,clients,latency,throughput
scone-sync,15,0.390877418,2510.554371
scone-sync,15,0.391743194,2511.175989
scone-sync,15,0.388382532,2526.729003
scone-sync,15,0.388626182,2526.718788
scone-sync,15,0.389950326,2519.991089
scone-sync,15,0.388359067,2523.59944
scone-sync,15,0.389417881,2521.643264
scone-sync,15,0.38883045,2525.313745
scone-sync,15,0.390661363,2514.73509
scone-sync,15,0.389206742,2517.47125
scone-sync,15,0.389421736,2519.439999
scone-sync,15,0.389550418,2519.63425
scone-sync,15,0.387346603,2535.904605
scone-sync,15,0.387901349,2530.55775
scone-sync,15,0.390715701,2514.029542
glibc+stunnel,3,0.402948402,2435.925418
glibc+stunnel,3,0.402889625,2436.396647
glibc+stunnel,3,0.40152694,2444.312452
scone-async,3,0.539023417,1790.564157
scone-async,3,0.536179963,1801.625859
scone-async,3,0.53933034,1788.835804
scone-sync,3,0.396420702,2463.404889
scone-sync,3,0.393644973,2479.520401
scone-sync,3,0.394573325,2474.377818
scone-sync,9,0.402386727,2444.097383
scone-sync,9,0.40136494,2453.211131
scone-sync,9,0.403536743,2441.637538
scone-sync,9,0.404109268,2436.333727
scone-sync,9,0.402662213,2443.3927
scone-sync,9,0.403524405,2439.269507
scone-sync,9,0.403716113,2437.921974
scone-sync,9,0.402763867,2444.570584
scone-sync,9,0.405421653,2429.412213
scone-async,9,1.121132632,858.0444412
scone-async,9,1.120801721,855.3280953
scone-async,9,1.080443498,895.6347301
scone-async,9,1.081920541,894.1672576
scone-async,9,1.080346439,895.1248457
scone-async,9,1.119473914,855.8074064
scone-async,9,1.121675419,856.1488439
scone-async,9,1.118548503,857.6576478
scone-async,9,1.12256722,855.0237175